freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
/m/0gttlsq,31804004,,,,,,18042805,Marcus de Bye
/m/0fpk3w3,29610160,,,,,,18042813,Cornelis Visscher
/m/04k23v,1226508,,,5627,44593,18300225,18042821,Saul Steinberg
/m/0261xs_,,,,,,,18042827,Francesco Salviati
/m/07hpgg,,,,,,,18042839,Ando Hiroshige
,,,,,,,18042849,Jean DuBois
/m/019fcl,186100,,,,,,18042853,Arnold Joost van Keppel
/m/06pl9v,2137897,,,,,,18042861,Rosalba Carriera
/m/05zqrxb,22715669,,,,,,18042871,François Chauveau
/m/04pwg,,,,,,,18042873,"Louis XIV, King of France"
/m/02r1ybn,11156214,,,,,,18042877,Mauro Antonio Tesi
,,,,6390,38759,,18042881,Robert Wilson
/m/0gw_68n,32017546,,,,9666,,18042887,Etienne Delaune
,,,,,,,18042891,Unknown
/m/03d13r0,14343534,,,,,,18042893,Pierino da Vinci
,,,,,,,18042897,Ranuccio Farnese
/m/08x3kq,3174541,,,,,,18042899,Jean-Jacques Lequeu
/m/086zrw,2853714,46833997,,,,,18042909,Augustus Charles Pugin
,,,,,,,18042925,Antonio Sarti
/m/0j194,69246,,,,,,18042933,Pope Pius VII
/m/02w5sr8,12436909,,,,,,18042935,Giovanni Volpato
/m/04093,15770,,,,8168,,18042987,Jules Verne
/m/037fkx,741290,,,,,,18042989,Nathaniel Currier
/m/01pwz,5635,,,,,,18043003,Christopher Columbus
/m/082db,33163,,,,,,18043005,Wolfgang Amadeus Mozart
,,,,,,,18043019,George Baxter
/m/0p_nx,102989,,,4136,,,18043027,Alphonse Maria Mucha
/m/077d8t,2374232,,,,12192,18299867,18043031,Giovanni Benedetto Castiglione
/m/0c43g,44525,,,,39613,18305005,18043051,Raphael
/m/0sy8w,113575,,,,40645,18295411,18043053,Robert Adam
/m/0bskv2,4254144,,,,3469,18295685,18043087,Rembrandt Harmensz van Rijn
/m/0g_6k,63093,,,4016,,,18043099,Joan Miró
/m/09qpn6,3624721,,,,57247,,18043105,Francesco Solimena
/m/06wgyr,2214279,,,,32744,,18043115,Heinrich Aldegrever
/m/0gct_,60203,42630086,,3832,53324,18298025,18043119,Henri Matisse
/m/069k5m,1965843,64934320,,,,,18043135,Elihu Vedder
/m/04qb96c,19909485,,,,,,18043137,Ashbel Holmes Barney
/m/0q2c2,103362,,,4942,,,18043157,Diego Rivera
/m/05849t,1527179,,,,,,18043161,Peter Julian
/m/026p5x1,8032274,,,,,,18043167,Post No Bills
/m/02f37c,476217,,,,42598,,18043169,Guerrilla Girls
,,,,,,,18043171,Peter Cohen
/m/0gg8l6_,31040227,,,,,,18043185,Charles Mellin
,,,,,,,18043197,Granger
/m/03m72dq,15398749,42708256,,,,,18043199,Clare Francis
/m/05t00xq,22403434,,,3035,,,18043215,Jerry Kearns
/m/027gc04,8723702,109482861,,,,,18043217,Lucy Lippard
/m/0gvtcdg,31541033,,,,,,18043219,Georgina von Etzdorf
/m/09cyzn,3448001,,,7098,,,18043229,Seth Tobocman
/m/07k1_7,2512756,,,,,,18043231,Frank Morales
/m/05b2ys,1556298,,,,,,18043233,Peter Kuper
,,,,,,,18043237,Caz
/m/04qbzh,1289372,62747615,,7087,,,18043241,Eric Drooker
,,,,,,,18043245,I.B.
/m/03ltbg,886599,,,7110,,,18043249,Avram Finkelstein
/m/0g9gny,6538365,,,2208,,,18043255,David Lance Goines
,,,,,,,18043259,Robert Cuni
/m/0blr14,4149197,,,7104,,,18043263,Lady Pink
/m/0bhsq2,30206742,,,,,,18043265,Nancy Burson
/m/07vpqj,2654608,95715926,,1170,,,18043271,Sue Coe
/m/0g1sc,58821,,,,,,18043283,Taddeo Zuccaro
,,,,,,,18043285,Gang
/m/02rvlm3,11850854,,,,,,18043287,Mattia de Rossi
/m/04z49v,1394585,,,,,,18043293,Charles Martinet
/m/0606lx,1842275,108760942,,7570,,,18043301,James Wines
/m/039704,761659,,,,,,18043305,Wallace Nutting
/m/05p00xv,21978570,84867554,94034121,,,,18043309,Ruth Reeves
,,,,,,,18043313,Crosley Radio Corporation
/m/06gst,25970,,,8649,,,18043315,Radio Corporation of America
/m/03hhjy,854569,27073465,,,,,18043319,Francesco Guardi
/m/02vr8c,605079,,,,,,18043327,Guido Reni
/m/03gmgb,846559,,,,,,18043329,Ludovico Carracci
/m/04_0r2s,20349675,,,,,,18043331,Alvin Lustig
/m/02qd25x,10436916,19573973,,,,,18043333,Arnold William Brunner
,,,,,,,18043349,Salvatori
/m/06nwrm,2125670,,,,,,18043353,Louis-Jean Desprez
/m/0cf_5k,4661570,,,6460,,18296469,18043357,Russel Wright
/m/02plv4k,9612650,,,,,,18043361,Eduardo Muñoz Bachs
,,,,,,,18043367,Nestor
,,,,,,,18043375,Luis Vega
